公司,股票代码,报告期,营业总收入,净利润,销售毛利率,销售净利率,净资产收益率,基本每股收益,每股净资产
艾融软件,830799,2022,6.06亿,5151.72万,31.26%,8.71%,14.96%,0.2500,1.69
艾融软件,830799,2023,6.06亿,7045.98万,33.18%,12.67%,19.08%,0.3400,1.85
艾融软件,830799,2024,6.08亿,6567.54万,32.07%,10.90%,16.43%,0.3100,1.92
用友网络,600588,2023,97.96亿,-9.67亿,50.73%,-9.53%,-9.19%,-0.2900,2.97
用友网络,600588,2024,91.53亿,-20.61亿,47.54%,-22.61%,-23.05%,-0.6200,2.41
用友网络,600588,2025,91.82亿,-13.89亿,49.62%,-14.72%,-18.73%,-0.4100,2.22
华宇软件,300271,2023,17.70亿,-13.11亿,22.82%,-74.89%,-26.12%,-1.6100,5.26
华宇软件,300271,2024,16.29亿,-5.15亿,32.32%,-31.93%,-12.68%,-0.6300,4.65
华宇软件,300271,2025,16.19亿,-1.95亿,35.00%,-12.19%,-5.32%,-0.2400,4.42
三维天地,301159,2023,3.35亿,755.81万,53.81%,1.85%,0.89%,0.1000,11.02
三维天地,301159,2024,3.33亿,-1.88亿,18.04%,-56.94%,-24.82%,-2.4300,8.55
三维天地,301159,2025,3.83亿,839.12万,44.74%,2.06%,1.27%,0.1100,8.62
山大地纬,688579,2023,5.38亿,8115.37万,53.27%,15.09%,6.11%,0.2029,3.36
山大地纬,688579,2024,5.55亿,6407.59万,52.02%,11.55%,4.70%,0.1602,3.43
山大地纬,688579,2025,5.20亿,6012.48万,52.20%,11.56%,4.28%,0.1503,3.51
殷图网联,835508,2022,7339.64万,648.15万,32.45%,8.83%,2.93%,0.1300,4.44
殷图网联,835508,2023,7753.29万,269.84万,32.98%,3.44%,1.24%,0.0500,4.19
殷图网联,835508,2024,8061.04万,431.47万,42.35%,4.98%,2.10%,0.0900,4.06
天亿马,301178,2023,4.10亿,638.90万,20.24%,1.07%,0.77%,0.1000,12.37
天亿马,301178,2024,2.24亿,-4955.28万,13.18%,-23.92%,-6.28%,-0.7400,11.30
天亿马,301178,2025,4.77亿,748.96万,26.22%,1.97%,0.98%,0.1100,11.62
远光软件,002063,2023,23.89亿,3.44亿,57.21%,15.05%,10.48%,0.1807,1.80
远光软件,002063,2024,23.98亿,2.93亿,55.61%,12.84%,8.25%,0.1538,1.93
远光软件,002063,2025,25.92亿,3.00亿,50.28%,12.11%,7.88%,0.1574,2.07
宇信科技,300674,2023,52.04亿,3.26亿,25.94%,6.34%,8.19%,0.4700,5.84
宇信科技,300674,2024,39.58亿,3.80亿,29.02%,9.71%,9.15%,0.5500,6.07
宇信科技,300674,2025,36.23亿,4.32亿,32.10%,12.09%,9.75%,0.6300,6.48
