年份,月份,项目,金额（元）,金额（万元）
2023,1月,营业收入,2530913.35,253.0913
2023,1月,营业成本,1541436.61,154.1437
2023,1月,税金及附加,29604.17,2.9604
2023,1月,销售费用,1199787.51,119.9788
2023,1月,管理费用,840211.59,84.0212
2023,1月,研发费用,1563026.76,156.3027
2023,1月,财务费用,41208.69,4.1209
2023,1月,其他收益,836782.07,83.6782
2023,2月,营业收入,4466822.46,446.6822
2023,2月,营业成本,2295686.58,229.5687
2023,2月,税金及附加,44543.06,4.4543
2023,2月,销售费用,569287.3,56.9287
2023,2月,管理费用,1182447.62,118.2448
2023,2月,研发费用,2304210.15,230.421
2023,2月,财务费用,-2816.57,-0.2817
2023,2月,其他收益,103469.5,10.3469
2023,3月,营业收入,7750907.33,775.0907
2023,3月,营业成本,5076680.05,507.668
2023,3月,税金及附加,76827.13,7.6827
2023,3月,销售费用,572066.14,57.2066
2023,3月,管理费用,989633.23,98.9633
2023,3月,研发费用,1715686.52,171.5687
2023,3月,财务费用,42910.68,4.2911
2023,3月,其他收益,58407.26,5.8407
2023,4月,营业收入,6482420.02,648.242
2023,4月,营业成本,3773495.18,377.3495
2023,4月,税金及附加,88365.98,8.8366
2023,4月,销售费用,769352.98,76.9353
2023,4月,管理费用,715506.38,71.5506
2023,4月,研发费用,1653744.35,165.3744
2023,4月,财务费用,12333.47,1.2333
2023,4月,其他收益,468988.68,46.8989
2023,5月,营业收入,17862253.79,1786.2254
2023,5月,营业成本,9704909.7,970.491
2023,5月,税金及附加,116637.56,11.6638
2023,5月,销售费用,628006.3,62.8006
2023,5月,管理费用,1041314.85,104.1315
2023,5月,研发费用,2935197.08,293.5197
2023,5月,财务费用,11331.14,1.1331
2023,5月,其他收益,540033.16,54.0033
2023,6月,营业收入,17558082.04,1755.8082
2023,6月,营业成本,7335598.21,733.5598
2023,6月,税金及附加,86404.64,8.6405
2023,6月,销售费用,688000.19,68.8
2023,6月,管理费用,890371.53,89.0372
2023,6月,研发费用,3336401.81,333.6402
2023,6月,财务费用,8756.88,0.8757
2023,6月,其他收益,3165.87,0.3166
2023,7月,营业收入,3579520.4,357.952
2023,7月,营业成本,3160994.73,316.0995
2023,7月,税金及附加,85203.7,8.5204
2023,7月,销售费用,786616.67,78.6617
2023,7月,管理费用,953314.06,95.3314
2023,7月,研发费用,2182728.03,218.2728
2023,7月,财务费用,13576.89,1.3577
2023,7月,其他收益,855442.7,85.5443
2023,8月,营业收入,4368331.26,436.8331
2023,8月,营业成本,3034909.9,303.491
2023,8月,税金及附加,118330.82,11.8331
